ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
0,NACIONAL,2018-01-01,0.9153223908065656,0.01369171178497293,0.24120781527531085,0.004164437501337499,0.028815082710950374,0.04788461126923324,0.05623702625778425,0.2586381048171371,0.11489011106593336,0.04641443215134071,0.003907637655417407,0.01113869331678401,0.02983372209976674,1.4979991012005392e-05,0.0013481991910804852,0.0018040189175886493,0.02158830704701577,0.03374349975390015,46729000.0,25727.0,1311.9513843258574,21.5,92523.42
1,Andalucía,2018-01-01,0.8661194384963121,0.013990007137758744,0.217237687366167,0.003533190578158458,0.026980728051391862,0.02911015940994528,0.05021413276231263,0.2701165833928147,0.09963121579823934,0.047918153699738286,0.003616464430168927,0.010492505353319057,0.02807518439210088,1.1896264572924102e-05,0.0016892695693552224,0.0017606471567927673,0.03222698072805139,0.029514632405424696,8406000.0,19107.0,1169.321523873574,32.0,13617.72
2,Aragón,2018-01-01,1.0722433460076044,0.01817490494296578,0.27452471482889734,0.0033460076045627378,0.034068441064638785,0.054980988593155894,0.06980988593155893,0.3263878326996198,0.1226615969581749,0.057338403041825095,0.002129277566539924,0.02220532319391635,0.0379467680608365,0.0,0.001064638783269962,0.001977186311787072,0.007984790874524715,0.0376425855513308,1315000.0,28151.0,1516.4358576993227,14.2,3011.35
3,Asturias,2018-01-01,1.2927734375,0.02099609375,0.35556640625,0.005078125,0.040234374999999996,0.0765625,0.06533203125,0.3791015625,0.15742187500000002,0.0591796875,0.005078125,0.01748046875,0.0439453125,0.0,0.0008789062499999999,0.0021484374999999997,0.014941406249999999,0.048828125,1024000.0,22789.0,1637.2943800456198,14.0,2478.08
4,Baleares,2018-01-01,0.6983829787234043,0.013531914893617021,0.19548936170212766,0.0028936170212765957,0.026127659574468085,0.03446808510638298,0.04834042553191489,0.19668085106382976,0.07395744680851064,0.035659574468085105,0.002553191489361702,0.007489361702127659,0.023744680851063828,0.0,0.0011914893617021277,0.0009361702127659574,0.006638297872340426,0.028680851063829785,1175000.0,27682.0,1357.7167927960973,15.4,2338.25
5,Canarias,2018-01-01,0.7454296160877514,0.011882998171846435,0.20639853747714806,0.0022394881170018283,0.026416819012797077,0.0329981718464351,0.03404936014625228,0.21243144424131624,0.10475319926873858,0.03756855575868373,0.00443327239488117,0.005255941499085923,0.02317184643510055,0.0,0.00196526508226691,0.0017824497257769652,0.010786106032906764,0.029296160877513713,2188000.0,20892.0,1348.9592158739727,32.1,4244.72
6,Cantabria,2018-01-01,1.0510344827586207,0.011034482758620689,0.2943103448275862,0.004310344827586207,0.025,0.09482758620689655,0.06586206896551725,0.27413793103448275,0.13448275862068967,0.04603448275862069,0.0029310344827586207,0.01413793103448276,0.02517241379310345,0.0,0.0010344827586206897,0.0022413793103448275,0.02224137931034483,0.03327586206896552,580000.0,23757.0,1470.1726596180245,19.9,1096.2
7,Castilla y León,2018-01-01,1.215643153526971,0.016639004149377593,0.3229045643153527,0.006804979253112033,0.04497925311203319,0.05452282157676348,0.06485477178423237,0.34182572614107887,0.16195020746887967,0.06531120331950208,0.007551867219917012,0.017219917012448134,0.042448132780082984,8.298755186721991e-05,0.000954356846473029,0.0016182572614107883,0.01929460580912863,0.046680497925311204,2410000.0,24031.0,1487.310589459165,16.1,4892.299999999999
8,Castilla La Mancha,2018-01-01,0.9642364532019705,0.011034482758620689,0.24280788177339901,0.005665024630541872,0.031330049261083744,0.05073891625615763,0.05615763546798029,0.26201970443349754,0.13970443349753695,0.052561576354679805,0.005665024630541872,0.011724137931034483,0.03605911330049261,0.0,0.0009852216748768472,0.001625615763546798,0.02137931034482759,0.03477832512315271,2030000.0,20363.0,1380.9084544633827,29.9,3857.0
9,Cataluña,2018-01-01,0.8856040447046302,0.013956891963810537,0.23491218733368813,0.003938265034592868,0.030095795635976582,0.05967269824374668,0.06210750399148483,0.23064129856306548,0.10553485896753594,0.043893028206492817,0.0028605641298563066,0.014874933475252794,0.027900478978179884,0.0,0.0012240553485896753,0.0017429483767961683,0.014063331559340076,0.038185204896221396,7516000.0,30426.0,1185.2608018689987,13.6,15482.96
